city,year,weekofyear,total_cases
iq,2011,16,6
iq,2011,17,1
iq,2011,18,5
iq,2011,19,1
iq,2011,20,2
iq,2011,21,2
iq,2011,22,3
iq,2011,23,8
iq,2011,24,5
iq,2011,25,6
iq,2011,26,5
iq,2011,27,5
iq,2011,28,8
iq,2011,29,5
iq,2011,30,4
iq,2011,31,5
iq,2011,32,3
iq,2011,33,2
iq,2011,34,3
iq,2011,35,0
iq,2011,36,1
iq,2011,37,1
iq,2011,38,0
iq,2011,39,0
iq,2011,40,1
iq,2011,41,0
iq,2011,42,0
iq,2011,43,7
iq,2011,44,8
iq,2011,45,6
iq,2011,46,8
iq,2011,47,7
iq,2011,48,8
iq,2011,49,8
iq,2011,50,9
iq,2011,51,10
iq,2012,52,11
iq,2012,1,16
iq,2012,2,14
iq,2012,3,14
iq,2012,4,16
iq,2012,5,15
iq,2012,6,15
iq,2012,7,13
iq,2012,8,13
iq,2012,9,12
iq,2012,10,8
iq,2012,11,5
iq,2012,12,6
iq,2012,13,3
iq,2012,14,4
iq,2012,15,5
iq,2012,16,0
iq,2012,17,3
iq,2012,18,3
iq,2012,19,5
iq,2012,20,5
iq,2012,21,7
iq,2012,22,7
iq,2012,23,7
iq,2012,24,3
iq,2012,25,3
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,0
iq,2012,30,0
iq,2012,31,0
iq,2012,32,0
iq,2012,33,0
iq,2012,34,0
iq,2012,35,0
iq,2012,36,0
iq,2012,37,0
iq,2012,38,0
iq,2012,39,1
iq,2012,40,2
iq,2012,41,3
iq,2012,42,5
iq,2012,43,3
iq,2012,44,8
iq,2012,45,8
iq,2012,46,9
iq,2012,47,12
iq,2012,48,14
iq,2012,49,13
iq,2012,50,16
iq,2012,51,15
iq,2013,1,14
iq,2013,2,13
iq,2013,3,11
iq,2013,4,8
iq,2013,5,13
iq,2013,6,12
iq,2013,7,11
iq,2013,8,14
iq,2013,9,15
iq,2013,10,13
iq,2013,11,14
iq,2013,12,14
iq,2013,13,8
iq,2013,14,8
iq,2013,15,2
iq,2013,16,1
iq,2013,17,0
iq,2013,18,1
iq,2013,19,0
iq,2013,20,3
iq,2013,21,3
iq,2013,22,3
iq,2013,23,2
iq,2013,24,3
iq,2013,25,3
iq,2013,26,4
