city,year,weekofyear,total_cases
sj,2011,30,13
sj,2011,31,11
sj,2011,32,14
sj,2011,33,13
sj,2011,34,8
sj,2011,35,14
sj,2011,36,15
sj,2011,37,15
sj,2011,38,11
sj,2011,39,13
sj,2011,40,13
sj,2011,41,16
sj,2011,42,20
sj,2011,43,20
sj,2011,44,23
sj,2011,45,24
sj,2011,46,18
sj,2011,47,15
sj,2011,48,22
sj,2011,49,18
sj,2011,50,21
sj,2011,51,18
sj,2012,52,14
sj,2012,1,17
sj,2012,2,15
sj,2012,3,20
sj,2012,4,21
sj,2012,5,22
sj,2012,6,15
sj,2012,7,18
sj,2012,8,21
sj,2012,9,19
sj,2012,10,15
sj,2012,11,15
sj,2012,12,12
sj,2012,13,14
sj,2012,14,9
sj,2012,15,11
sj,2012,16,8
sj,2012,17,11
sj,2012,18,13
sj,2012,19,9
sj,2012,20,14
sj,2012,21,17
sj,2012,22,19
sj,2012,23,16
sj,2012,24,16
sj,2012,25,19
sj,2012,26,25
sj,2012,27,22
sj,2012,28,25
sj,2012,29,28
sj,2012,30,40
sj,2012,31,42
sj,2012,32,36
sj,2012,33,44
sj,2012,34,56
sj,2012,35,87
sj,2012,36,97
sj,2012,37,130
sj,2012,38,144
sj,2012,39,188
sj,2012,40,202
sj,2012,41,219
sj,2012,42,181
sj,2012,43,159
sj,2012,44,168
sj,2012,45,195
sj,2012,46,174
sj,2012,47,172
sj,2012,48,138
sj,2012,49,107
sj,2012,50,73
sj,2012,51,56
sj,2013,1,75
sj,2013,2,46
sj,2013,3,37
sj,2013,4,29
sj,2013,5,24
sj,2013,6,20
sj,2013,7,15
sj,2013,8,10
sj,2013,9,11
sj,2013,10,12
sj,2013,11,7
sj,2013,12,7
sj,2013,13,9
sj,2013,14,8
sj,2013,15,9
sj,2013,16,7
sj,2013,17,6
iq,2010,26,2
iq,2010,27,2
iq,2010,28,2
iq,2010,29,2
iq,2010,30,2
iq,2010,31,2
iq,2010,32,2
iq,2010,33,2
iq,2010,34,2
iq,2010,35,2
iq,2010,36,2
iq,2010,37,2
iq,2010,38,2
iq,2010,39,2
iq,2010,40,2
iq,2010,41,2
iq,2010,42,2
iq,2010,43,2
iq,2010,44,2
iq,2010,45,2
iq,2010,46,2
iq,2010,47,2
iq,2010,48,2
iq,2010,49,2
iq,2010,50,2
iq,2010,51,2
iq,2011,52,2
iq,2011,1,2
iq,2011,2,2
iq,2011,3,2
iq,2011,4,2
iq,2011,5,2
iq,2011,6,2
iq,2011,7,2
iq,2011,8,2
iq,2011,9,2
iq,2011,10,2
iq,2011,11,2
iq,2011,12,2
iq,2011,13,2
iq,2011,14,2
iq,2011,15,2
iq,2011,16,2
iq,2011,17,2
iq,2011,18,2
iq,2011,19,2
iq,2011,20,2
iq,2011,21,2
iq,2011,22,2
iq,2011,23,2
iq,2011,24,2
iq,2011,25,2
iq,2011,26,2
iq,2011,27,2
iq,2011,28,2
iq,2011,29,2
iq,2011,30,2
iq,2011,31,2
iq,2011,32,2
iq,2011,33,2
iq,2011,34,2
iq,2011,35,2
iq,2011,36,2
iq,2011,37,2
iq,2011,38,2
iq,2011,39,2
iq,2011,40,2
iq,2011,41,2
iq,2011,42,2
iq,2011,43,2
iq,2011,44,2
iq,2011,45,2
iq,2011,46,2
iq,2011,47,2
iq,2011,48,2
iq,2011,49,2
iq,2011,50,3
iq,2011,51,2
iq,2012,52,3
iq,2012,1,3
iq,2012,2,4
iq,2012,3,5
iq,2012,4,4
iq,2012,5,4
iq,2012,6,4
iq,2012,7,3
iq,2012,8,3
iq,2012,9,3
iq,2012,10,3
iq,2012,11,3
iq,2012,12,3
iq,2012,13,3
iq,2012,14,3
iq,2012,15,4
iq,2012,16,4
iq,2012,17,3
iq,2012,18,5
iq,2012,19,3
iq,2012,20,3
iq,2012,21,4
iq,2012,22,2
iq,2012,23,3
iq,2012,24,3
iq,2012,25,2
iq,2012,26,3
iq,2012,27,3
iq,2012,28,2
iq,2012,29,3
iq,2012,30,3
iq,2012,31,3
iq,2012,32,3
iq,2012,33,2
iq,2012,34,3
iq,2012,35,4
iq,2012,36,3
iq,2012,37,5
iq,2012,38,4
iq,2012,39,5
iq,2012,40,4
iq,2012,41,6
iq,2012,42,5
iq,2012,43,5
iq,2012,44,5
iq,2012,45,4
iq,2012,46,5
iq,2012,47,3
iq,2012,48,7
iq,2012,49,6
iq,2012,50,5
iq,2012,51,3
iq,2013,1,3
iq,2013,2,3
iq,2013,3,3
iq,2013,4,2
iq,2013,5,2
iq,2013,6,2
iq,2013,7,2
iq,2013,8,2
iq,2013,9,3
iq,2013,10,2
iq,2013,11,3
iq,2013,12,2
iq,2013,13,3
iq,2013,14,2
iq,2013,15,2
iq,2013,16,2
iq,2013,17,2
iq,2013,18,2
iq,2013,19,2
iq,2013,20,2
iq,2013,21,2
iq,2013,22,2
iq,2013,23,2
iq,2013,24,2
iq,2013,25,2
iq,2013,26,3
